#! FIELDS time phi psi metad.bias
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
 80.000000 1.010840 0.623381 7.325591
 80.200000 0.732336 0.646160 7.721287
 80.400000 1.087393 0.120126 15.518407
 80.600000 0.855620 -0.841883 20.235565
 80.800000 0.945746 -1.974319 11.942078
 81.000000 1.106282 -2.600453 3.937110
 81.200000 1.243252 2.985679 1.383278
 81.400000 0.976594 -2.899227 2.547701
 81.600000 1.274614 -2.332648 7.162866
 81.800000 0.846783 -1.419841 18.142710
 82.000000 1.194768 -0.749385 20.686596
 82.200000 1.236383 -0.134230 16.525617
 82.400000 0.420860 0.902421 2.670016
 82.600000 1.273588 0.610032 6.773438
 82.800000 0.650447 0.472267 10.167352
 83.000000 1.112181 -0.211753 18.244324
 83.200000 1.381970 -0.895265 19.198312
 83.400000 1.132237 -0.853764 22.063182
 83.600000 1.366046 -0.600987 18.334542
 83.800000 0.406453 -0.036835 10.681497
 84.000000 1.300596 -0.300750 17.465541
 84.200000 1.331269 -0.753571 19.900930
 84.400000 0.766671 -1.309701 18.193546
 84.600000 0.855940 -1.553390 16.768765
 84.800000 0.952184 -1.443164 18.710716
 85.000000 1.217691 -1.246639 20.116039
 85.200000 0.572809 -0.655497 15.252384
 85.400000 0.894172 -0.433994 20.129901
 85.600000 0.926649 -0.128993 18.746297
 85.800000 0.959533 -0.401919 20.458723
 86.000000 1.061900 -0.801004 22.425464
 86.200000 1.265191 -1.232074 20.370246
 86.400000 0.931466 -1.016282 22.417810
 86.600000 0.838436 -0.643706 20.584451
 86.800000 0.845088 0.086601 16.558022
 87.000000 1.151390 0.530727 9.142470
 87.200000 0.667328 0.964100 2.977341
 87.400000 1.071026 0.412497 12.535907
 87.600000 0.970850 0.031926 17.776255
 87.800000 1.230733 -1.076752 21.943198
 88.000000 0.836745 -1.623998 15.999346
 88.200000 0.978409 -2.405341 7.244580
 88.400000 0.998386 -2.768619 3.436197
 88.600000 0.987809 3.091700 1.596108
 88.800000 1.181832 -2.734051 3.604330
 89.000000 0.928474 -2.173319 10.005023
 89.200000 1.028110 -1.667141 16.993816
 89.400000 1.176748 -0.865900 22.708856
 89.600000 0.891935 0.355016 13.903404
 89.800000 0.686916 1.014037 2.444648
 90.000000 0.945857 0.279721 15.008189
 90.200000 1.239103 -0.549483 20.700054
 90.400000 0.861710 -1.088362 21.621849
 90.600000 1.350721 -1.598803 14.961842
 90.800000 0.600694 -1.348745 15.703526
 91.000000 1.314208 -1.176162 20.348654
 91.200000 1.052762 -0.701411 22.661598
 91.400000 0.796226 -0.209003 18.491092
 91.600000 0.658342 -0.281421 16.568120
 91.800000 0.836465 -0.462461 19.975742
 92.000000 1.033371 -0.148020 19.527674
 92.200000 1.128897 0.094652 17.393065
 92.400000 1.066766 -0.220376 20.421677
 92.600000 0.803699 -0.790227 20.796910
 92.800000 1.069036 -1.232478 22.550153
 93.000000 0.851107 -1.178509 21.486870
 93.200000 0.723371 -1.042081 20.038899
 93.400000 0.807682 -0.135908 18.786936
 93.600000 1.076936 0.028824 18.450218
 93.800000 1.163322 -0.442462 21.211221
 94.000000 0.930399 -0.921355 23.186848
 94.200000 1.090628 -0.580536 22.557282
 94.400000 0.711132 -0.027869 17.042700
 94.600000 1.180116 -0.560770 21.963954
 94.800000 1.267922 -1.461014 18.652752
 95.000000 1.125405 -1.622276 17.646934
 95.200000 1.010911 -1.968965 13.642697
 95.400000 0.989459 -1.879390 14.850885
 95.600000 0.856271 -1.865951 14.586915
 95.800000 1.095071 -1.390326 21.721071
 96.000000 1.099468 -0.500293 22.056628
 96.200000 0.955500 -0.107195 19.961870
 96.400000 1.132491 -0.478601 22.230415
 96.600000 1.164376 -0.909545 24.226344
 96.800000 1.212908 -1.024272 23.833906
 97.000000 1.041089 -0.570747 22.972985
 97.200000 1.031728 -0.280850 21.571294
 97.400000 0.811062 -0.623550 21.590628
 97.600000 1.264601 -0.889751 23.394339
 97.800000 1.336325 -0.772902 21.894569
 98.000000 1.166101 -0.378166 21.716503
 98.200000 0.908245 0.044822 18.842211
 98.400000 0.859084 -0.082475 19.660134
 98.600000 0.788933 -0.578407 21.356794
 98.800000 1.278716 -1.069763 23.061271
 99.000000 0.761547 -0.984483 21.653313
 99.200000 1.020670 -0.707893 24.635875
 99.400000 0.982978 -0.047694 19.964100
 99.600000 0.959004 -0.193603 21.203869
 99.800000 0.749010 -0.657382 21.141894
 100.000000 0.919505 -0.983952 24.580260
 100.200000 1.252011 -1.147802 23.562224
 100.400000 0.885990 -0.670149 23.678211
 100.600000 1.073325 -0.164011 20.986981
 100.800000 0.645437 0.182648 14.952542
 101.000000 1.342009 -0.468808 20.646632
 101.200000 0.756213 -0.763061 22.135592
 101.400000 0.974547 -1.472310 20.987801
 101.600000 0.764085 -1.683537 16.212244
 101.800000 0.781370 -2.030178 12.025428
 102.000000 0.980151 -2.219250 10.385639
 102.200000 0.932795 -2.712776 4.357477
 102.400000 1.262830 -3.085296 1.817234
 102.600000 0.952333 -2.884760 2.816418
 102.800000 1.164732 -2.699076 4.416705
 103.000000 0.894726 -2.442132 7.893362
 103.200000 1.145362 -2.741203 4.533990
 103.400000 1.141344 -3.023934 2.293154
 103.600000 0.990771 -2.957045 2.678946
 103.800000 0.681133 -2.528505 6.564625
 104.000000 0.849826 -2.373204 9.569845
 104.200000 0.996161 -2.740179 5.107375
 104.400000 1.035721 -3.057161 2.267084
 104.600000 1.014562 -2.902774 3.297931
 104.800000 0.897498 -2.571988 7.508268
 105.000000 1.000214 -2.501085 8.683267
 105.200000 1.067543 -3.046068 2.553080
