#! FIELDS time phi psi metad.bias
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
 84.600000 -1.133579 0.891732 12.614401
 84.800000 -1.409245 0.086753 6.010592
 85.000000 -1.129312 -0.396775 2.227738
 85.200000 -1.295499 -0.099199 5.570482
 85.400000 -1.345737 0.698642 11.920057
 85.600000 -1.441421 1.341779 15.067159
 85.800000 -1.377162 1.713299 12.498032
 86.000000 -1.078033 1.816045 10.224338
 86.200000 -1.314812 2.444359 9.954789
 86.400000 -1.506635 2.936681 7.158626
 86.600000 -1.387663 2.902155 6.401379
 86.800000 -1.346888 2.290014 11.011830
 87.000000 -1.044092 2.080822 9.407161
 87.200000 -1.545077 1.882829 13.086660
 87.400000 -1.664772 1.428959 13.641320
 87.600000 -1.258062 1.008612 14.951660
 87.800000 -1.081302 0.125669 5.824077
 88.000000 -1.362710 -0.107962 5.532409
 88.200000 -1.293093 -0.042956 6.758422
 88.400000 -1.391329 0.428230 8.579856
 88.600000 -1.386118 0.910809 14.985138
 88.800000 -1.403906 1.259711 15.785439
 89.000000 -1.395609 1.367789 15.247318
 89.200000 -1.410604 1.220898 16.488182
 89.400000 -1.380653 0.690393 12.106163
 89.600000 -1.210934 -0.309483 4.839582
 89.800000 -1.006472 -0.397717 3.638949
 90.000000 -1.655573 0.357114 7.748928
 90.200000 -1.082182 0.842763 11.811342
 90.400000 -1.337138 0.740050 13.059764
 90.600000 -1.277167 -0.009445 7.238352
 90.800000 -1.172416 0.229216 7.479135
 91.000000 -1.242019 0.705588 11.867339
 91.200000 -1.284134 0.513252 10.326319
 91.400000 -1.299848 0.159749 7.998767
 91.600000 -1.197728 0.385486 8.618712
 91.800000 -1.274630 0.555198 10.781329
 92.000000 -1.250365 0.321124 8.497338
 92.200000 -1.403768 0.156809 8.841226
 92.400000 -1.170520 -0.034754 7.398010
 92.600000 -1.240011 0.309478 9.209170
 92.800000 -1.212539 0.743397 13.196313
 93.000000 -1.306393 0.708480 13.547745
 93.200000 -1.497970 0.405118 10.845753
 93.400000 -1.020463 0.215130 7.738437
 93.600000 -1.334912 0.568857 12.531228
 93.800000 -1.419737 0.482593 11.707064
 94.000000 -1.130557 0.465973 9.980268
 94.200000 -1.369988 0.353370 10.966190
 94.400000 -1.148342 0.273539 9.501064
 94.600000 -1.455642 0.461322 12.131598
 94.800000 -1.303778 0.464898 11.883547
 95.000000 -1.273773 0.457750 11.669466
 95.200000 -1.599767 0.536011 13.255507
 95.400000 -0.982875 0.355710 9.220976
 95.600000 -1.226640 0.387665 11.463882
 95.800000 -1.287411 0.637485 14.427389
 96.000000 -1.428690 0.385585 11.987246
 96.200000 -1.278382 -0.121183 7.628527
 96.400000 -1.569626 -0.334208 4.699549
 96.600000 -1.173580 -0.451660 3.651327
 96.800000 -0.841432 -0.050941 6.100092
 97.000000 -1.517958 0.899341 17.547875
 97.200000 -1.224569 1.547704 14.463210
 97.400000 -1.525152 2.070492 13.114055
 97.600000 -1.531703 3.118532 5.254872
 97.800000 -1.654562 3.012319 7.954683
 98.000000 -1.954731 2.272822 14.418786
 98.200000 -1.821995 1.120933 14.979927
 98.400000 -1.215259 0.129259 9.966288
 98.600000 -1.216672 -0.368835 4.616746
 98.800000 -1.292542 -0.165490 7.132980
 99.000000 -1.224187 0.307934 11.532926
 99.200000 -1.136690 0.808333 15.495797
 99.400000 -1.354054 1.575317 14.767765
 99.600000 -1.255591 2.182648 11.787104
 99.800000 -1.208387 2.768986 6.535479
 100.000000 -1.709316 2.999589 8.893564
 100.200000 -1.819685 2.684536 14.277917
 100.400000 -1.477881 2.330333 12.758485
 100.600000 -0.852062 2.370165 6.852270
 100.800000 -1.727388 2.518349 13.978813
 101.000000 -2.205383 2.852351 18.077811
 101.200000 -3.048705 2.463827 10.405992
 101.400000 -2.565665 2.710208 19.385935
 101.600000 -2.567127 2.232261 13.428451
 101.800000 -2.794989 1.639326 3.658807
 102.000000 -1.912478 1.403722 11.758124
 102.200000 -1.334856 1.474136 15.863781
 102.400000 -1.377231 1.640197 14.739106
 102.600000 -1.717894 1.738195 13.279035
 102.800000 -1.821852 1.764774 12.595292
 103.000000 -1.260203 2.271704 11.473462
 103.200000 -1.117897 2.940791 4.700876
 103.400000 -1.780688 2.655072 14.547849
 103.600000 -2.528623 2.410623 16.535433
 103.800000 -2.659205 2.308114 13.817694
 104.000000 -2.598523 2.337121 14.871103
 104.200000 -2.359167 2.523800 19.068876
 104.400000 -2.637856 2.352082 15.336286
 104.600000 -2.491856 2.594344 19.419235
 104.800000 -2.747385 2.701031 17.820789
 105.000000 -2.741560 2.940544 17.716085
 105.200000 -2.657530 -3.046179 14.262015
 105.400000 -2.508336 -2.804576 8.525319
 105.600000 -2.766978 -2.953820 11.503945
 105.800000 -2.686203 3.136574 16.200968
 106.000000 -2.359619 -3.085086 14.921472
 106.200000 -2.663989 -3.048739 14.815682
 106.400000 -3.046951 -2.972025 9.273049
 106.600000 -2.106640 -2.813102 6.960146
 106.800000 -2.244474 -3.069382 14.212758
 107.000000 -2.588838 2.320382 15.442164
 107.200000 -2.585379 1.844298 7.865694
 107.400000 -2.174270 1.623827 9.085681
 107.600000 -1.671452 2.076168 14.590713
 107.800000 -1.135572 2.308783 10.877487
 108.000000 -1.262640 2.673140 8.947397
 108.200000 -2.037008 2.953777 16.561327
 108.400000 -2.770990 2.812336 18.756744
 108.600000 -2.778492 3.034110 17.376586
 108.800000 -1.974018 3.112958 12.948326
 109.000000 -1.691461 2.887821 12.158051
 109.200000 -0.768210 2.220812 7.457078
 109.400000 -1.414998 1.952760 14.120916
 109.600000 -2.507041 1.305053 4.909193
 109.800000 -2.734078 1.226218 2.851374
 110.000000 -2.088777 1.472312 9.874550
 110.200000 -0.884207 1.562763 11.014871
 110.400000 -1.764456 2.005585 14.561749
 110.600000 -1.754603 2.353506 16.081770
 110.800000 -1.411007 2.874801 9.460215
 111.000000 -1.352309 2.757625 10.231551
 111.200000 -1.434663 2.086748 14.400338
